date,snowdepth_cm
2001-03-20,367.7
2001-03-21,284.45
2001-03-22,278.2
2001-03-23,277.55
2001-03-24,275.1
2001-03-25,268.2
2001-03-26,266.7
2001-03-27,262.4
2001-03-28,260.2
2001-03-29,260.85
2001-03-30,250.95
2001-03-31,243.9
2001-04-01,238.6
2001-04-02,250.3
2001-04-03,228.7
2001-04-04,230.05
2001-04-05,236
2001-04-06,234
2001-04-07,276.1
2001-04-08,300.7
2001-04-09,300.55
2001-04-10,302.75
2001-04-11,295.3
2001-04-12,287.9
2001-04-13,284.4
2001-04-14,281.7
2001-04-15,279.1
2001-04-16,274.9
2001-04-17,267.5
2001-04-18,263.85
2001-04-19,267.1
2001-04-20,293.45
2001-04-21,323.4
2001-04-22,317.4
2001-04-23,310.5
2001-04-24,299.25
2001-04-25,288.7
2001-04-26,279
2001-04-27,273.5
2001-04-28,265.2
2001-04-29,262
2001-04-30,257.8
2001-05-01,248.3
2001-05-02,235.4
2001-05-03,232.95
2001-05-04,231.6
2001-05-05,229.45
2001-05-06,223.9
2001-05-07,217
2001-05-08,209.4
2001-05-09,200
2001-05-10,191.5
2001-05-11,183.3
2001-05-12,172.75
2001-05-13,168.7
2001-05-14,163.9
2001-05-15,159
2001-05-16,144.8
2001-05-17,137.85
2001-05-18,128.5
2001-05-19,122.9
2001-05-20,116.1
2001-05-21,108.9
2001-05-22,98.6
2001-05-23,93.2
2001-05-24,81
2001-05-25,72.2
2001-05-26,59.37
2001-05-27,40.88
2001-05-28,20.3
2001-05-29,16.24
2001-05-30,18.87
2001-05-31,20.02
2001-06-01,16.14
2001-06-02,0
2001-06-03,0
2001-06-04,0
2001-06-05,0
2001-06-06,0
2001-06-07,0
2001-06-08,0
2001-06-09,0
2001-06-10,0
2001-06-11,0
2001-06-12,0
2001-06-13,0
2001-06-14,0
2001-06-15,0
2001-06-16,0
2001-06-17,0
2001-06-18,0
2001-06-19,0
2001-06-20,0
2001-06-21,0
2001-06-22,0
2001-06-23,0
2001-06-24,0
2001-06-25,0
2001-06-26,0
2001-06-27,0
2001-06-28,0
2001-06-29,0
2001-06-30,0
2001-07-01,0
2001-07-02,0
2001-07-03,0
2001-07-04,0
2001-07-05,0
2001-07-06,0
2001-07-07,0
2001-07-08,0
2001-07-09,0
2001-07-10,0
2001-07-11,0
2001-07-12,0
2001-07-13,0
2001-07-14,0
2001-07-15,0
2001-07-16,0
2001-07-17,0
2001-07-18,0
2001-07-19,0
2001-07-20,0
2001-07-21,0
2001-07-22,0
2001-07-23,0
2001-07-24,0
2001-07-25,0
2001-07-26,0
2001-07-27,0
2001-07-28,0
2001-07-29,0
2001-07-30,0
2001-07-31,0
2001-08-01,0
2001-08-02,0
2001-08-03,0
2001-08-04,0
2001-08-05,0
2001-08-06,0
2001-08-07,0
2001-08-08,0
2001-08-09,0
2001-08-10,0
2001-08-11,0
2001-08-12,0
2001-08-13,0
2001-08-14,0
2001-08-15,0
2001-08-16,0
2001-08-17,0
2001-08-18,0
2001-08-19,0
2001-08-20,0
2001-08-21,0
2001-08-22,0
2001-08-23,0
2001-08-24,0
2001-08-25,0
2001-08-26,0
2001-08-27,0
2001-08-28,0
2001-08-29,0
2001-08-30,0
2001-08-31,0
2001-09-01,0
2001-09-02,0
2001-09-03,0
2001-09-04,0
2001-09-05,0
2001-09-06,0
2001-09-07,0
2001-09-08,0
2001-09-09,0
2001-09-10,0
2001-09-11,0
2001-09-12,0
2001-09-13,0
2001-09-14,0
2001-09-15,0
2001-09-16,0
2001-09-17,0
2001-09-18,0
2001-09-19,0
2001-09-20,0
2001-09-21,0
2001-09-22,0
2001-09-23,0
2001-09-24,0
2001-09-25,0
2001-09-26,0
2001-09-27,0
2001-09-28,0
2001-09-29,0
2001-09-30,0
2001-10-01,0
2001-10-02,0
2001-10-03,0
2001-10-04,0
2001-10-05,0
2001-10-06,0
2001-10-07,0
2001-10-08,0
2001-10-09,0
2001-10-10,0
2001-10-11,0
2001-10-12,0
2001-10-13,0
2001-10-14,0
2001-10-15,0
2001-10-16,0
2001-10-17,0
2001-10-18,0
2001-10-19,0
2001-10-20,0
2001-10-21,0
2001-10-22,0
2001-10-23,0
2001-10-24,0
2001-10-25,0
2001-10-26,0
2001-10-27,0
2001-10-28,0
2001-10-29,0
2001-10-30,0
2001-10-31,0
2001-11-01,33.89
2001-11-02,32.39
2001-11-03,29.305
2001-11-04,28.48
2001-11-05,27.36
2001-11-06,22.62
2001-11-07,21.75
2001-11-08,19.42
2001-11-09,18.04
2001-11-10,18.35
2001-11-11,26.73
2001-11-12,27.74
2001-11-13,44.29
2001-11-14,44.34
2001-11-15,44.65
2001-11-16,40.7
2001-11-17,38
2001-11-18,39.675
2001-11-19,39.8
2001-11-20,37.31
2001-11-21,35.61
2001-11-22,49.555
2001-11-23,44.37
2001-11-24,49.93
2001-11-25,112.2
2001-11-26,83.5
2001-11-27,80.2
2001-11-28,87.3
2001-11-29,112.75
2001-11-30,110.7
2001-12-01,128
2001-12-02,169.3
2001-12-03,189.45
2001-12-04,186.45
2001-12-05,245.6
2001-12-06,241.4
2001-12-07,231
2001-12-08,227.8
2001-12-09,222.6
2001-12-10,223.55
2001-12-11,221.9
2001-12-12,219.8
2001-12-13,217.8
2001-12-14,217.8
2001-12-15,219.5
2001-12-16,221.7
2001-12-17,219.4
2001-12-18,232.55
2001-12-19,231.65
2001-12-20,231.2
2001-12-21,256.7
2001-12-22,274.25
2001-12-23,272
2001-12-24,266.9
2001-12-25,265.85
2001-12-26,266.05
2001-12-27,261.7
2001-12-28,258.5
2001-12-29,284.75
2001-12-30,285.5
2001-12-31,303.8
2002-01-01,298.65
2002-01-02,293.6
2002-01-03,309.75
2002-01-04,307.15
2002-01-05,304.5
2002-01-06,302
2002-01-07,300.2
2002-01-08,295.05
2002-01-09,290.25
2002-01-10,289.6
2002-01-11,289.2
2002-01-12,286.3
2002-01-13,283.1
2002-01-14,280.15
2002-01-15,274.7
2002-01-16,273.1
2002-01-17,271
2002-01-18,272.95
2002-01-19,258.5
2002-01-20,260.4
2002-01-21,255.9
2002-01-22,254
2002-01-23,249
2002-01-24,255.1
2002-01-25,254.5
2002-01-26,247.9
2002-01-27,272.3
2002-01-28,283.45
2002-01-29,285.5
2002-01-30,283.5
2002-01-31,285.65
2002-02-01,284.3
2002-02-02,281.15
2002-02-03,280.9
2002-02-04,280.1
2002-02-05,280.3
2002-02-06,278.5
2002-02-07,276.1
2002-02-08,280.6
2002-02-09,279.5
2002-02-10,279.75
2002-02-11,279
2002-02-12,276.15
2002-02-13,272.5
2002-02-14,283.05
2002-02-15,281.1
2002-02-16,278.05
2002-02-17,309.9
2002-02-18,300.7
2002-02-19,325.35
2002-02-20,336.9
2002-02-21,333.35
2002-02-22,329.9
2002-02-23,321.7
2002-02-24,320.8
2002-02-25,319
2002-02-26,316.1
2002-02-27,312.55
2002-02-28,310.3
2002-03-01,304.85
2002-03-02,305.1
2002-03-03,304.7
2002-03-04,304
2002-03-05,302.25
2002-03-06,308.9
2002-03-07,307.9
2002-03-08,305.2
2002-03-09,305.3
2002-03-10,302.5
2002-03-11,305.9
2002-03-12,303
2002-03-13,299.4
2002-03-14,305.5
2002-03-15,306.5
2002-03-16,311.1
2002-03-17,298.85
2002-03-18,307.9
2002-03-19,307.7
2002-03-20,303.3
2002-03-21,301.9
2002-03-22,297.1
2002-03-23,320.2
2002-03-24,322.35
2002-03-25,322.6
2002-03-26,322.75
2002-03-27,320.95
2002-03-28,315.25
2002-03-29,312.55
2002-03-30,308.9
2002-03-31,304.55
2002-04-01,300.55
2002-04-02,296.8
2002-04-03,293.1
2002-04-04,288.75
2002-04-05,283.9
2002-04-06,280.3
2002-04-07,277.7
2002-04-08,274.6
2002-04-09,269.35
2002-04-10,268.8
2002-04-11,265.9
2002-04-12,262.15
2002-04-13,258.4
2002-04-14,253.55
2002-04-15,238.4
2002-04-16,240.45
2002-04-17,245
2002-04-18,242.6
2002-04-19,249.65
2002-04-20,249.1
2002-04-21,248.5
2002-04-22,246.5
2002-04-23,242
2002-04-24,238.1
2002-04-25,235.3
2002-04-26,243.8
2002-04-27,258.4
2002-04-28,243.55
2002-04-29,254.9
2002-04-30,256
2002-05-01,270.75
2002-05-02,265.95
2002-05-03,257.15
2002-05-04,249
2002-05-05,243.15
2002-05-06,238.6
2002-05-07,230.2
2002-05-08,224.5
2002-05-09,219.85
2002-05-10,214.5
2002-05-11,216.1
2002-05-12,215
2002-05-13,210.9
2002-05-14,204.5
2002-05-15,200.3
2002-05-16,194.75
2002-05-17,189.5
2002-05-18,177.9
2002-05-19,168.9
2002-05-20,172.35
2002-05-21,182
2002-05-22,180.9
2002-05-23,176.1
2002-05-24,171.6
2002-05-25,166.8
2002-05-26,161.65
2002-05-27,154.15
2002-05-28,147.2
2002-05-29,142.1
2002-05-30,132.9
2002-05-31,123.1
2002-06-01,110.1
2002-06-02,100.8
2002-06-03,92.8
2002-06-04,90.3
2002-06-05,83.4
2002-06-06,73.3
2002-06-07,57.815
2002-06-08,44.755
2002-06-09,30.38
2002-06-10,24.12
2002-06-11,19
2002-06-12,14.92
2002-06-13,14.7
2002-06-14,15.74
2002-06-15,17.14
2002-06-16,0
2002-06-17,0
2002-06-18,0
2002-06-19,0
2002-06-20,0
2002-06-21,0
2002-06-22,0
2002-06-23,0
2002-06-24,0
2002-06-25,0
2002-06-26,0
2002-06-27,0
2002-06-28,0
2002-06-29,0
2002-06-30,0
2002-07-01,0
2002-07-02,0
2002-07-03,0
2002-07-04,0
2002-07-05,0
2002-07-06,0
2002-07-07,0
2002-07-08,0
2002-07-09,0
2002-07-10,0
2002-07-11,0
2002-07-12,0
2002-07-13,0
2002-07-14,0
2002-07-15,0
2002-07-16,0
2002-07-17,0
2002-07-18,0
2002-07-19,0
2002-07-20,0
2002-07-21,0
2002-07-22,0
2002-07-23,0
2002-07-24,0
2002-07-25,0
2002-07-26,0
2002-07-27,0
2002-07-28,0
2002-07-29,0
2002-07-30,0
2002-07-31,0
2002-08-01,0
2002-08-02,0
2002-08-03,0
2002-08-04,0
2002-08-05,0
2002-08-06,0
2002-08-07,0
2002-08-08,0
2002-08-09,0
2002-08-10,0
2002-08-11,0
2002-08-12,0
2002-08-13,0
2002-08-14,0
2002-08-15,0
2002-08-16,0
2002-08-17,0
2002-08-18,0
2002-08-19,0
2002-08-20,0
2002-08-21,0
2002-08-22,0
2002-08-23,0
2002-08-24,0
2002-08-25,0
2002-08-26,0
2002-08-27,0
2002-08-28,0
2002-08-29,0
2002-08-30,0
2002-08-31,0
2002-09-01,0
2002-09-02,0
2002-09-03,0
2002-09-04,0
2002-09-05,0
2002-09-06,0
2002-09-07,0
2002-09-08,0
2002-09-09,0
2002-09-10,0
2002-09-11,0
2002-09-12,0
2002-09-13,0
2002-09-14,0
2002-09-15,0
2002-09-16,0
2002-09-17,0
2002-09-18,0
2002-09-19,0
2002-09-20,0
2002-09-21,0
2002-09-22,0
2002-09-23,0
2002-09-24,0
2002-09-25,0
2002-09-26,0
2002-09-27,0
2002-09-28,0
2002-09-29,0
2002-09-30,0
2002-10-01,0
2002-10-02,0
2002-10-03,0
2002-10-04,0
2002-10-05,0
2002-10-06,0
2002-10-07,0
2002-10-08,0
2002-10-09,0
2002-10-10,0
2002-10-11,0
2002-10-12,0
2002-10-13,0
2002-10-14,0
2002-10-15,0
2002-10-16,0
2002-10-17,0
2002-10-18,0
2002-10-19,0
2002-10-20,0
2002-10-21,0
2002-10-22,0
2002-10-23,0
2002-10-24,0
2002-10-25,0
2002-10-26,0
2002-10-27,0
2002-10-28,0
2002-10-29,0
2002-10-30,0
2002-10-31,0
2002-11-01,0
2002-11-02,0
2002-11-03,0
2002-11-04,0
2002-11-05,0
2002-11-06,0
2002-11-07,0
2002-11-08,0
2002-11-09,0
2002-11-10,0
2002-11-11,0
2002-11-12,0
2002-11-13,0
2002-11-14,0
2002-11-15,0
2002-11-16,0
2002-11-17,0
2002-11-18,0
2002-11-19,0
2002-11-20,0
2002-11-21,0
2002-11-22,0
2002-11-23,0
2002-11-24,0
2002-11-25,0
2002-11-26,0
2002-11-27,0
2002-11-28,0
2002-11-29,0
2002-11-30,0
2002-12-01,0
2002-12-02,0
2002-12-03,0
2002-12-04,0
2002-12-05,0
2002-12-06,0
2002-12-07,0
2002-12-08,0
2002-12-09,0
2002-12-10,0
2002-12-11,0
2002-12-12,0
2002-12-13,0
2002-12-14,0
2002-12-15,0
2002-12-16,125.95
2002-12-17,162.1
2002-12-18,157.7
2002-12-19,156.6
2002-12-20,202.2
2002-12-21,240.5
2002-12-22,225.7
2002-12-23,220.2
2002-12-24,246.1
2002-12-25,240.2
2002-12-26,248.1
2002-12-27,241.6
2002-12-28,236.3
2002-12-29,252.1
2002-12-30,294.75
2002-12-31,276.65
2003-01-01,270.2
2003-01-02,265
2003-01-03,259.5
2003-01-04,255.1
2003-01-05,251
2003-01-06,248
2003-01-07,244.95
2003-01-08,243.15
2003-01-09,242.65
2003-01-10,258.25
2003-01-11,263.55
2003-01-12,257.4
2003-01-13,254.05
2003-01-14,252.15
2003-01-15,254.5
2003-01-16,252.2
2003-01-17,249.95
2003-01-18,248.2
2003-01-19,246.4
2003-01-20,244.8
2003-01-21,243.5
2003-01-22,242
2003-01-23,240.4
2003-01-24,238.9
2003-01-25,237
2003-01-26,235.95
2003-01-27,234.8
2003-01-28,235.55
2003-01-29,234.2
2003-01-30,233.1
2003-01-31,231.7
2003-02-01,230.8
2003-02-02,229.85
2003-02-03,228.9
2003-02-04,227.8
2003-02-05,227.1
2003-02-06,226.3
2003-02-07,227.1
2003-02-08,226.65
2003-02-09,227.794318181818
2003-02-10,228.938636363636
2003-02-11,230.082954545455
2003-02-12,231.227272727273
2003-02-13,232.371590909091
2003-02-14,233.515909090909
2003-02-15,234.660227272727
2003-02-16,235.804545454545
2003-02-17,236.948863636364
2003-02-18,238.093181818182
2003-02-19,239.2375
2003-02-20,240.381818181818
2003-02-21,241.526136363636
2003-02-22,242.670454545455
2003-02-23,243.814772727273
2003-02-24,244.959090909091
2003-02-25,246.103409090909
2003-02-26,247.247727272727
2003-02-27,248.392045454545
2003-02-28,249.536363636364
2003-03-01,250.680681818182
2003-03-02,251.825
2003-03-03,252.969318181818
2003-03-04,254.113636363636
2003-03-05,255.257954545455
2003-03-06,256.402272727273
2003-03-07,257.546590909091
2003-03-08,258.690909090909
2003-03-09,259.835227272727
2003-03-10,260.979545454545
2003-03-11,262.123863636364
2003-03-12,263.268181818182
2003-03-13,264.4125
2003-03-14,265.556818181818
2003-03-15,266.701136363636
2003-03-16,267.845454545455
2003-03-17,268.989772727273
2003-03-18,270.134090909091
2003-03-19,271.278409090909
2003-03-20,272.422727272727
2003-03-21,273.567045454545
2003-03-22,274.711363636364
2003-03-23,275.855681818182
2003-03-24,277
2003-03-25,275.2
2003-03-26,273.1
2003-03-27,269.2
